id,occupation,location,tstamp,treatment,treated_cg,treated_em,did_mc,started_assignment,completed_assignment,time_read,time_check,time_ready,time_assignment,man_check_cgo_correct,man_check_emi_correct,passed_both_mc,sga,da,fvg_market,fvg_model,gains_inv_property,int_exp,tax_exp,dinclude
PTPS2Y8N8TGFAV62,Financial Analyst,North America,2019-07-03 12:42:02,3,TRUE,FALSE,TRUE,TRUE,TRUE,92.4159653186798,15.6741487979889,2.67473816871643,91.4658782482147,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
YUJYM28I4ZLPEJXQ,Financial Analyst,North America,2019-07-03 12:44:29,4,TRUE,TRUE,TRUE,TRUE,TRUE,4.79275560379028,10.9146358966827,4.86411046981812,10.0260403156281,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
144EZOUF2CMLRVU4,Financial Analyst,Europe,2019-07-03 12:54:05,2,FALSE,TRUE,TRUE,TRUE,TRUE,6.09157729148865,90.4259421825409,7.02851414680481,124.659495353699,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
69EEEV6H1TB3WM3D,Portfolio Manager,Rest of World,2019-07-03 12:59:09,1,FALSE,FALSE,TRUE,TRUE,TRUE,99.9833569526672,7.66934514045715,3.3459677696228,68.3995208740234,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
ZT41FPFAFBZCWWCQ,Portfolio Manager,North America,2019-07-03 13:03:16,4,TRUE,TRUE,TRUE,TRUE,TRUE,18.6985335350037,10.8531739711761,1.79902386665344,73.9210429191589,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
VPVLXELGC2NUCRXX,Portfolio Manager,Europe,2019-07-03 13:08:20,2,FALSE,TRUE,TRUE,TRUE,TRUE,1.68636465072632,9.57779598236084,7.07819795608521,63.5279273986816,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
9GNHYT3QYBGNOY68,Financial Analyst,Rest of World,2019-07-03 13:12:46,1,FALSE,FALSE,TRUE,TRUE,TRUE,43.1714949607849,15.4697692394257,2.60924553871155,65.1925089359283,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
ON7VSWM61ROTKC4B,Financial Analyst,North America,2019-07-03 13:15:00,3,TRUE,FALSE,FALSE,FALSE,FALSE,4.45483493804932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P22M9RGXU3FLP4TH,Financial Analyst,North America,2019-07-03 13:18:23,3,TRUE,FALSE,TRUE,TRUE,TRUE,38.1652393341064,12.9006519317627,2.45697855949402,134.486256122589,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
TXAZD7KGDZCIBOPQ,Financial Analyst,North America,2019-07-03 13:17:17,3,TRUE,FALSE,TRUE,TRUE,TRUE,6.70129609107971,5.9346604347229,6.01982760429382,80.1492161750793,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
2THJNU45RXQZUDSQ,Financial Analyst,Rest of World,2019-07-03 13:21:04,4,TRUE,TRUE,FALSE,FALSE,FALSE,24.9687523841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IO2XSA56SFGU8ZD3,Financial Analyst,North America,2019-07-03 13:24:20,1,FALSE,FALSE,TRUE,TRUE,TRUE,14.0755732059479,19.0368051528931,1.76779317855835,38.587131023407,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
PUDOX43ERDP3TPRY,Financial Analyst,Rest of World,2019-07-03 13:27:25,4,TRUE,TRUE,TRUE,TRUE,FALSE,52.6478807926178,17.7733910083771,6.16017174720764,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
3TO96ZZRN3WC6MUN,Portfolio Manager,Europe,2019-07-03 13:26:36,4,TRUE,TRUE,TRUE,TRUE,FALSE,8.34165668487549,8.42044043540955,4.93617081642151,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
3N6BXKC07TXWBW6V,Portfolio Manager,Europe,2019-07-03 13:30:11,2,FALSE,TRUE,TRUE,TRUE,TRUE,4.6864709854126,22.0210371017456,1.20796084403992,67.4232771396637,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
J620KS5RDA7YS1AJ,Financial Analyst,Rest of World,2019-07-03 13:39:43,2,FALSE,TRUE,TRUE,TRUE,TRUE,73.7929055690765,46.6323046684265,4.73449516296387,636.763829469681,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,-0.5
E4W75Y3O7YAQJ7OJ,Portfolio Manager,Rest of World,2019-07-03 13:28:45,4,TRUE,TRUE,FALSE,FALSE,FALSE,17.8356237411499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1Z7R3YBSK9FOR39D,Financial Analyst,Rest of World,2019-07-03 13:40:55,4,TRUE,TRUE,TRUE,TRUE,TRUE,1.56797051429749,4.69227576255798,4.19742822647095,10.8302965164185,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,-0.5
1PJOW8W1H8TAB878,Financial Analyst,North America,2019-07-03 13:30:12,4,TRUE,TRUE,TRUE,TRUE,TRUE,1.42408871650696,6.39565491676331,2.0579080581665,9.13712096214294,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
SGG517HJA9IRTC3X,Financial Analyst,North America,2019-07-03 13:36:20,4,TRUE,TRUE,TRUE,TRUE,TRUE,23.1316463947296,19.1960990428925,1.97183227539062,94.4413578510284,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
3WW0RCWW0DR23095,Portfolio Manager,North America,2019-07-03 13:42:10,3,TRUE,FALSE,TRUE,TRUE,TRUE,40.400354385376,14.7041795253754,4.14728283882141,194.115960597992,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
4Q1102EPZJNX8RAZ,Financial Analyst,Europe,2019-07-03 13:44:29,1,FALSE,FALSE,TRUE,TRUE,TRUE,28.8922543525696,19.2756040096283,2.16845011711121,70.3192312717438,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
58LE5TOVDCWOQTLI,Financial Analyst,North America,2019-07-03 13:44:54,1,FALSE,FALSE,TRUE,TRUE,TRUE,13.4789950847626,12.3854858875275,3.94887447357178,53.0991361141205,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
J5HP8AGX45ANU3A5,Portfolio Manager,Rest of World,2019-07-03 13:51:18,3,TRUE,FALSE,TRUE,TRUE,TRUE,6.22842454910278,194.53907752037,48.3588869571686,47.2939958572388,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-1
DNRAOZMUQKSKNM8J,Portfolio Manager,Rest of World,2019-07-03 13:50:39,2,FALSE,TRUE,TRUE,TRUE,TRUE,4.40587735176086,19.2661726474762,2.0457079410553,71.5796694755554,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
IFW1GBCB0T7GQCKG,Portfolio Manager,Europe,2019-07-03 13:55:40,2,FALSE,TRUE,TRUE,TRUE,TRUE,22.5067856311798,18.165403842926,2.07828521728516,51.6982910633087,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IZ8T5VSIVMLA2EMG,Financial Analyst,Europe,2019-07-03 13:58:15,4,TRUE,TRUE,TRUE,TRUE,TRUE,34.0245509147644,16.9107701778412,1.58317160606384,82.0484175682068,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
52CW4QDEYJ8507IG,Portfolio Manager,Europe,2019-07-03 14:00:09,1,FALSE,FALSE,TRUE,TRUE,TRUE,1.9453661441803,68.7420489788055,3.24114775657654,105.871931314468,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
